ticker,name,date,current_price,per,pbr,forward_pe,eps,bps,market_cap,dividend_yield,roe,roe_year,debt_ratio,debt_ratio_year,eps_growth_yoy,open,high,low,close,volume
006920,모헨즈,2026-03-01,4625.0,,1.53,,-37.0,3022.875816993464,505.0,,,,,,,3585.0,4625.0,3510.0,4625.0,6840174
027360,아주IB투자,2026-03-01,5810.0,157.03,2.65,,37.0,2192.4528301886794,7039.0,1.21,,,,,,4685.0,5810.0,4665.0,5810.0,26648417
043150,바텍,2026-03-01,27350.0,8.23,0.84,,3325.0,32559.52380952381,4063.0,,,,,,,27300.0,27350.0,26250.0,27350.0,138816
054620,APS,2026-03-01,6500.0,,0.58,,-3394.0,11206.89655172414,1196.0,,,,,,,4950.0,6500.0,4620.0,6500.0,1095197
061040,알에프텍,2026-03-01,2365.0,,0.36,,-1216.0,6569.444444444444,759.0,,,,,,,2365.0,2365.0,2365.0,2365.0,968682
089230,THE E&M,2026-03-01,1462.0,,1.65,,-600.0,886.0606060606061,454.0,,,,,,,1300.0,1462.0,1254.0,1462.0,3148279
121060,유니포인트,2026-03-01,626.0,,,,,,37.0,,,,,,,545.0,626.0,545.0,626.0,2
223220,로지스몬,2026-03-01,1880.0,,,,,,34.0,,,,,,,1880.0,1880.0,1641.0,1880.0,38008
229000,젠큐릭스,2026-03-01,5860.0,,10.26,,-9.0,571.1500974658869,1373.0,,,,,,,5200.0,5860.0,5020.0,5860.0,17876677
266170,레드우즈,2026-03-01,2300.0,,,,,,17.0,,,,,,,2300.0,2300.0,2300.0,2300.0,1
